162.159.39.153:443#JP 电信优选[87ms]
198.41.223.241:443#SG 电信优选[87ms]
104.18.33.7:443#SG 电信优选[88ms]
8.39.125.221:443#SG 电信优选[88ms]
108.162.198.47:443#JP 电信优选[88ms]
188.164.248.202:443#SG 电信优选[88ms]
198.41.223.124:443#SG 电信优选[89ms]
198.41.223.1:443#SG 电信优选[89ms]
162.159.39.127:443#JP 电信优选[89ms]
8.39.125.3:443#SG 电信优选[89ms]
173.245.59.78:443#SG 电信优选[89ms]
198.41.223.177:443#SG 电信优选[89ms]
162.159.39.58:443#JP 电信优选[89ms]
162.159.41.154:443#SG 电信优选[89ms]
162.159.39.51:443#JP 电信优选[90ms]
108.162.198.43:443#JP 电信优选[90ms]
162.159.39.43:443#JP 电信优选[90ms]
8.35.211.189:443#SG 电信优选[90ms]
104.18.33.67:443#SG 电信优选[90ms]
104.19.147.211:443#HK 电信优选[90ms]
108.162.198.115:443#JP 电信优选[91ms]
8.39.125.156:443#SG 电信优选[91ms]
162.159.39.158:443#JP 电信优选[91ms]
104.18.33.214:443#SG 电信优选[91ms]
8.35.211.194:443#SG 电信优选[91ms]
108.162.198.27:443#JP 电信优选[92ms]
108.162.198.232:443#JP 电信优选[92ms]
108.162.198.227:443#JP 电信优选[93ms]
198.41.223.216:443#SG 电信优选[93ms]
104.18.33.174:443#SG 电信优选[93ms]
104.17.63.113:443#HK 电信优选[93ms]
198.41.223.208:443#SG 电信优选[94ms]
8.35.211.154:443#SG 电信优选[94ms]
188.164.248.101:443#SG 电信优选[95ms]
162.159.38.192:443#JP 电信优选[96ms]
108.162.198.160:443#JP 电信优选[96ms]
162.159.34.70:443#SG 电信优选[96ms]
91.193.58.21:443#HK 电信优选[96ms]
104.18.33.201:443#SG 电信优选[97ms]
172.66.1.140:443#HK 电信优选[97ms]
173.245.58.70:443#SG 电信优选[98ms]
162.159.39.9:443#JP 电信优选[100ms]
8.35.211.182:443#SG 电信优选[100ms]
162.159.32.210:443#SG 电信优选[100ms]
162.159.43.128:443#SG 电信优选[100ms]
162.159.42.144:443#SG 电信优选[100ms]
162.159.39.1:443#JP 电信优选[101ms]
108.162.198.254:443#JP 电信优选[102ms]
173.245.59.76:443#SG 电信优选[102ms]
8.35.211.225:443#SG 电信优选[103ms]
188.164.248.48:443#SG 电信优选[103ms]
162.159.39.63:443#JP 电信优选[105ms]
162.159.38.16:443#JP 电信优选[105ms]
104.16.145.214:443#HK 电信优选[105ms]
198.41.223.19:443#SG 电信优选[106ms]
188.164.248.222:443#SG 电信优选[106ms]
108.162.198.132:443#JP 电信优选[108ms]
8.35.211.101:443#SG 电信优选[108ms]
173.245.58.136:443#SG 电信优选[108ms]
188.164.248.73:443#SG 电信优选[108ms]
172.66.1.156:443#HK 电信优选[108ms]
108.162.198.189:443#JP 电信优选[109ms]
162.159.38.148:443#JP 电信优选[110ms]
8.39.125.107:443#SG 电信优选[110ms]
104.19.34.114:443#HK 电信优选[112ms]
8.39.125.160:443#SG 电信优选[114ms]
108.162.198.216:443#JP 电信优选[115ms]
162.159.39.44:443#JP 电信优选[115ms]
162.159.42.32:443#SG 电信优选[115ms]
8.39.125.125:443#SG 电信优选[115ms]
162.159.39.154:443#JP 电信优选[117ms]
188.164.248.63:443#SG 电信优选[117ms]
104.17.212.136:443#HK 电信优选[117ms]
162.159.39.66:443#JP 电信优选[118ms]
198.41.209.245:443#HK 电信优选[118ms]
108.162.198.153:443#JP 电信优选[119ms]
173.245.58.144:443#SG 电信优选[119ms]
108.162.198.161:443#JP 电信优选[120ms]
104.18.33.213:443#SG 电信优选[120ms]
188.164.248.91:443#SG 电信优选[121ms]
198.41.223.174:443#SG 电信优选[123ms]
173.245.59.30:443#SG 电信优选[124ms]
108.162.198.102:443#JP 电信优选[124ms]
8.35.211.155:443#SG 电信优选[124ms]
188.164.248.242:443#SG 电信优选[124ms]
173.245.58.5:443#SG 电信优选[125ms]
104.18.33.160:443#SG 电信优选[125ms]
173.245.58.126:443#SG 电信优选[127ms]
104.18.33.144:443#SG 电信优选[127ms]
173.245.59.22:443#SG 电信优选[128ms]
108.162.198.48:443#JP 电信优选[129ms]
162.159.41.64:443#SG 电信优选[129ms]
162.159.32.148:443#SG 电信优选[131ms]
198.41.223.11:443#SG 电信优选[132ms]
104.16.159.62:443#HK 电信优选[132ms]
8.35.211.159:443#SG 电信优选[133ms]
104.18.33.200:443#HK 电信优选[133ms]
188.164.248.244:443#SG 电信优选[134ms]
162.159.38.109:443#JP 电信优选[135ms]
198.41.223.179:443#SG 电信优选[135ms]
104.17.61.87:443#HK 电信优选[136ms]
173.245.59.215:443#SG 电信优选[137ms]
104.19.53.20:443#HK 电信优选[137ms]
162.159.41.212:443#SG 电信优选[139ms]
104.18.33.125:443#SG 电信优选[139ms]
8.39.125.16:443#SG 电信优选[139ms]
162.159.36.125:443#SG 电信优选[139ms]
104.16.147.206:443#HK 电信优选[140ms]
104.17.184.179:443#HK 电信优选[140ms]
162.159.45.174:443#JP 电信优选[141ms]
8.39.125.162:443#SG 电信优选[141ms]
188.164.248.253:443#SG 电信优选[141ms]
104.16.245.21:443#HK 电信优选[141ms]
108.162.198.19:443#JP 电信优选[142ms]
198.41.209.151:443#HK 电信优选[142ms]
8.35.211.220:443#SG 电信优选[143ms]
104.17.164.195:443#HK 电信优选[143ms]
162.159.38.95:443#JP 电信优选[144ms]
173.245.58.129:443#SG 电信优选[144ms]
8.39.125.223:443#SG 电信优选[144ms]
104.17.124.136:443#HK 电信优选[145ms]
8.39.125.26:443#SG 电信优选[148ms]
8.35.211.172:443#SG 电信优选[148ms]
162.159.33.214:443#SG 电信优选[148ms]
173.245.59.172:443#SG 电信优选[149ms]
108.162.198.66:443#JP 电信优选[150ms]
104.19.35.223:443#HK 电信优选[150ms]
8.39.125.22:443#SG 电信优选[152ms]
198.41.223.63:443#SG 电信优选[152ms]
104.17.102.215:443#HK 电信优选[152ms]
162.159.38.217:443#JP 电信优选[153ms]
108.162.198.231:443#JP 电信优选[154ms]
162.159.33.13:443#SG 电信优选[155ms]
108.162.198.5:443#JP 电信优选[156ms]
162.159.40.192:443#SG 电信优选[156ms]
104.17.208.218:443#HK 电信优选[156ms]
104.17.25.119:443#HK 电信优选[156ms]
108.162.198.88:443#JP 电信优选[158ms]
173.245.58.203:443#SG 电信优选[160ms]
8.39.125.49:443#SG 电信优选[160ms]
198.41.223.3:443#SG 电信优选[160ms]
162.159.41.89:443#SG 电信优选[161ms]
104.19.35.185:443#HK 电信优选[161ms]
104.17.210.152:443#HK 电信优选[163ms]
162.159.39.96:443#JP 电信优选[164ms]
104.17.212.185:443#HK 电信优选[164ms]
104.18.33.193:443#SG 电信优选[165ms]
8.39.125.20:443#SG 电信优选[165ms]
104.16.245.139:443#HK 电信优选[166ms]
104.17.170.144:443#HK 电信优选[166ms]
104.16.242.63:443#HK 电信优选[167ms]
104.17.165.227:443#HK 电信优选[167ms]
104.16.147.115:443#HK 电信优选[168ms]
104.17.31.2:443#HK 电信优选[168ms]
104.17.209.128:443#HK 电信优选[168ms]
104.17.112.116:443#HK 电信优选[169ms]
104.17.149.83:443#HK 电信优选[170ms]
104.19.48.16:443#HK 电信优选[170ms]
188.164.248.254:443#SG 电信优选[171ms]
8.35.211.36:443#SG 电信优选[172ms]
108.162.198.94:443#JP 电信优选[172ms]
104.17.163.13:443#HK 电信优选[172ms]
104.17.178.136:443#HK 电信优选[174ms]
162.159.46.189:443#SG 电信优选[176ms]
173.245.58.116:443#SG 电信优选[176ms]
173.245.59.115:443#SG 电信优选[178ms]
162.159.42.93:443#SG 电信优选[178ms]
173.245.59.132:443#SG 电信优选[179ms]
162.159.45.127:443#JP 电信优选[179ms]
173.245.59.238:443#SG 电信优选[179ms]
8.35.211.17:443#SG 电信优选[180ms]
8.39.125.29:443#SG 电信优选[180ms]
173.245.59.211:443#SG 电信优选[180ms]
8.39.125.255:443#SG 电信优选[180ms]
104.17.216.141:443#US 电信优选[181ms]
162.159.39.46:443#JP 电信优选[181ms]
108.162.198.62:443#JP 电信优选[181ms]
104.16.246.66:443#US 电信优选[181ms]
104.17.190.171:443#US 电信优选[182ms]
104.16.149.115:443#US 电信优选[182ms]
104.16.244.3:443#US 电信优选[182ms]
162.159.38.22:443#JP 电信优选[182ms]
104.17.173.172:443#US 电信优选[182ms]
104.19.146.197:443#US 电信优选[182ms]
8.35.211.140:443#SG 电信优选[182ms]
104.17.102.134:443#US 电信优选[183ms]
108.162.198.240:443#JP 电信优选[183ms]
104.16.147.217:443#US 电信优选[183ms]
104.19.149.227:443#US 电信优选[183ms]
162.159.43.129:443#SG 电信优选[183ms]
104.17.209.34:443#US 电信优选[184ms]
104.17.121.80:443#US 电信优选[184ms]
104.17.213.145:443#US 电信优选[184ms]
104.19.54.216:443#US 电信优选[184ms]
188.164.248.197:443#SG 电信优选[184ms]
104.16.242.122:443#US 电信优选[184ms]
104.16.155.183:443#US 电信优选[184ms]
198.41.208.90:443#US 电信优选[185ms]
104.19.35.206:443#US 电信优选[185ms]
198.41.208.191:443#US 电信优选[185ms]
172.66.1.108:443#US 电信优选[185ms]
104.19.32.164:443#US 电信优选[185ms]
198.41.208.254:443#US 电信优选[185ms]
172.66.0.136:443#US 电信优选[185ms]
104.17.105.64:443#US 电信优选[185ms]
104.19.151.7:443#US 电信优选[185ms]
104.17.216.173:443#US 电信优选[185ms]
188.164.248.112:443#SG 电信优选[185ms]
104.18.33.192:443#SG 电信优选[185ms]
104.17.119.111:443#US 电信优选[186ms]
198.41.208.27:443#US 电信优选[186ms]
104.17.153.48:443#US 电信优选[186ms]
91.193.58.207:443#US 电信优选[186ms]
104.17.122.76:443#US 电信优选[186ms]
104.17.167.255:443#US 电信优选[186ms]
162.159.38.38:443#JP 电信优选[186ms]
104.17.164.143:443#US 电信优选[186ms]
104.19.53.127:443#US 电信优选[186ms]
104.19.33.166:443#US 电信优选[186ms]
104.17.216.206:443#US 电信优选[186ms]
91.193.58.180:443#US 电信优选[186ms]
8.35.211.67:443#US 电信优选[186ms]
8.35.211.1:443#SG 电信优选[186ms]
104.19.48.197:443#US 电信优选[187ms]
104.17.215.68:443#US 电信优选[187ms]
104.17.172.150:443#US 电信优选[187ms]
104.19.145.168:443#US 电信优选[187ms]
104.17.109.195:443#US 电信优选[187ms]
104.17.25.232:443#US 电信优选[187ms]
104.17.58.194:443#US 电信优选[187ms]
104.17.190.254:443#US 电信优选[187ms]
104.19.34.227:443#US 电信优选[187ms]
104.17.166.219:443#US 电信优选[187ms]
104.17.159.193:443#US 电信优选[187ms]
8.39.125.226:443#SG 电信优选[187ms]
104.17.221.54:443#US 电信优选[187ms]
198.41.209.172:443#US 电信优选[187ms]
104.17.182.27:443#US 电信优选[187ms]
104.16.148.213:443#US 电信优选[187ms]
104.17.154.46:443#US 电信优选[187ms]
188.164.248.14:443#SG 电信优选[187ms]
104.19.48.194:443#US 电信优选[187ms]
104.19.32.49:443#US 电信优选[187ms]
104.19.32.175:443#US 电信优选[187ms]
162.159.41.47:443#SG 电信优选[187ms]
104.17.214.179:443#US 电信优选[187ms]
173.245.58.63:443#SG 电信优选[187ms]
104.19.147.254:443#US 电信优选[188ms]
104.17.58.213:443#US 电信优选[188ms]
104.17.24.150:443#US 电信优选[188ms]
104.19.35.107:443#US 电信优选[188ms]
104.17.107.184:443#US 电信优选[188ms]
104.17.29.197:443#US 电信优选[188ms]
91.193.58.42:443#US 电信优选[188ms]
198.41.208.2:443#US 电信优选[188ms]
104.16.249.234:443#US 电信优选[188ms]
104.17.62.69:443#US 电信优选[188ms]
173.245.59.24:443#SG 电信优选[188ms]
104.19.34.77:443#US 电信优选[189ms]
198.41.209.170:443#US 电信优选[189ms]
104.17.183.204:443#US 电信优选[189ms]
104.17.119.89:443#US 电信优选[189ms]
91.193.58.208:443#US 电信优选[189ms]
173.245.59.239:443#SG 电信优选[189ms]
104.19.34.252:443#US 电信优选[189ms]
91.193.59.247:443#US 电信优选[189ms]
104.17.50.255:443#US 电信优选[189ms]
104.19.34.237:443#US 电信优选[189ms]
104.17.180.227:443#US 电信优选[189ms]
104.17.155.191:443#US 电信优选[189ms]
104.19.147.57:443#US 电信优选[189ms]
108.162.198.190:443#JP 电信优选[189ms]
108.162.198.42:443#JP 电信优选[189ms]
108.162.198.14:443#US 电信优选[189ms]
104.17.53.217:443#US 电信优选[190ms]
104.19.54.252:443#US 电信优选[190ms]
104.17.120.146:443#US 电信优选[190ms]
162.159.40.206:443#SG 电信优选[190ms]
104.17.53.243:443#US 电信优选[190ms]
91.193.59.35:443#US 电信优选[190ms]
104.16.241.187:443#US 电信优选[190ms]
104.19.34.149:443#US 电信优选[190ms]
104.17.175.52:443#US 电信优选[190ms]
108.162.198.55:443#JP 电信优选[190ms]
91.193.58.195:443#US 电信优选[191ms]
104.17.166.128:443#US 电信优选[191ms]
104.17.152.188:443#US 电信优选[191ms]
104.17.167.185:443#US 电信优选[191ms]
104.17.63.169:443#US 电信优选[191ms]
104.17.150.5:443#US 电信优选[191ms]
91.193.58.87:443#US 电信优选[191ms]
198.41.223.233:443#SG 电信优选[191ms]
104.19.145.64:443#US 电信优选[191ms]
104.17.208.103:443#US 电信优选[191ms]
173.245.58.44:443#US 电信优选[191ms]
104.16.243.109:443#US 电信优选[192ms]
104.17.22.116:443#US 电信优选[192ms]
104.16.148.32:443#US 电信优选[192ms]
104.16.157.114:443#US 电信优选[192ms]
198.41.209.18:443#US 电信优选[192ms]
198.41.209.137:443#US 电信优选[192ms]
104.19.149.157:443#US 电信优选[192ms]
104.17.172.87:443#US 电信优选[192ms]
172.66.0.170:443#US 电信优选[192ms]
